Name,Level,Access to,County,Activity Regions,Counselor Email,Dashboard Link,roger Email,Permission Email,Notes
,,Full Service = all cluster/pathway and activity - Virtual only Virtual activities  - M7 = only Educator activities,,,,,,,
Almond-Bancroft High School,High School,Full Service,PORTAGE,"Portage, Waupaca, Waushara, Marathon","jbecker@abschools.k12.wi.us, dchapa@abschools.k12.wi.us",https://www.formstack.com/admin/submission/report/41273755?share=k92CSg4k6D,roger@waupacaareachamber.com ,,
Almond-Bancroft Middle School,Middle School,Full Service,PORTAGE,"Portage, Waupaca, Waushara, Marathon","jbecker@abschools.k12.wi.us, dchapa@abschools.k12.wi.us",https://www.formstack.com/admin/submission/report/41273755?share=k92CSg4k6D,roger@waupacaareachamber.com ,,
Antigo High School,High School,Full Service ,LANGLADE,"Langlade, Lincoln, Marathon, Oneida, Shawano",marlen@antigoschools.com,https://www.formstack.com/admin/submission/report/36334131?share=bp2JRHi9Jb,"bholbrook@cesa9.org, vbrooks@cesa9.org",,
Antigo Middle School,Middle School,Full Service ,LANGLADE,"Langlade, Lincoln, Marathon, Oneida, Shawano",marlen@antigoschools.com,https://www.formstack.com/admin/submission/report/36334131?share=bp2JRHi9Jb,"bholbrook@cesa9.org, vbrooks@cesa9.org",,
Arrowhead UHS School District,"High School, Middle School","M7-Educator = Educator only, no student access",Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43877934?share=K3VhwOr0Rs
Beaver Dam High School,High School,Full Service,DODGE,"Columbia, Dodge, Fond duLac, Green Lake, Washington, Winnebago","hillj@bdusd.org, wilken@bdusd.org, dezarnh@bdusd.org",https://www.formstack.com/admin/submission/report/30331086?share=fOFOD8POBa,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
Beaver Dam Middle School,Middle School,Virtual,DODGE,,,https://www.formstack.com/admin/submission/report/30331086?share=fOFOD8POBa,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
Berlin High School,High School,Full Service,Green Lake,"Calumet, Columbia, Dodge, Fond duLac, Green Lake, Outagamie, Ozaukee, Washington, Waushara, Winnebago",aragus@berlin.k12.wi.us; mwillett@berlin.k12.wi.us,https://www.formstack.com/admin/submission/report/43585463?share=XvQsTa2bHB,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
Big Foot UHS School District,"High School, Middle School",M7-Educator,Walworth,Walworth,,Walworth,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43877951?share=YjzUuKigPt
Brown Deer School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43877963?share=vnL0B1vTKi
Burlington Area School District,"High School, Middle School",M7-Educator,Walworth,Walworth,,Walworth,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43877963?share=vnL0B1vTKi
Campbellsport High School,High School,Full Service,Fond duLac,"Brown, Calumet, Columbia, Dodge, Fond duLac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",KGRAVELLE@CSD.K12.WI.US; SSVOBODA@CSD.K12.WI.US,https://www.formstack.com/admin/submission/report/30332486?share=MZKIOnpa26,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
Campbellsport Middle School,Middle School,Virtual,Fond duLac,,SWAHLGREN@CSD.K12.WI.US,https://www.formstack.com/admin/submission/report/30332486?share=MZKIOnpa26,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
Cedar Grove Belgium High School,High School,Full Service,SHEBOYGAN,"Sheboygan, Ozaukee",msmillie@cgbrockets.com,https://www.formstack.com/admin/submission/report/30332644?share=QwxSa2Yn1O,mmotiska@rogersheboygancounty.org,,
Cedar Grove Belgium Middle School,Middle School,Full Service,SHEBOYGAN,"Sheboygan, Ozaukee",bsmittkamp@cgbrockets.com,https://www.formstack.com/admin/submission/report/30332644?share=QwxSa2Yn1O,mmotiska@rogersheboygancounty.org,,
Cedarburg School District,"High School, Middle School",M7-Educator,Ozaukee M7,Ozaukee M7,,Ozaukee M7,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43877965?share=BBTP5xKsys
Central High School,High School,Full Service,SHEBOYGAN,Sheboygan,aberlin@centralhs.org,https://www.formstack.com/admin/submission/report/30332864?share=kI3K0ljhbw,mmotiska@rogersheboygancounty.org,,
Central/Westosha UHS School District,"High School, Middle School",M7-Educator,Kenosha,Kenosha,,Kenosha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43877966?share=7H7rQEDGWy
CESA 1 - Other Schools,"Middle School, High School",M7-Educator,Milwaukee,"Milwaukee, Waukesha, Ozaukee M7, Washington M7, Racine, Kenosha, Walworth",,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/44917501?share=ATHOErRU88
Chain Exploration Center,Middle School,Full Service,WAUPACA,"Waupaca, Waushara, Outagamie, Winnebago",cnaparalla@waupacaschools.org,https://www.formstack.com/admin/submission/report/44643701?share=VmftARFIix,roger@waupacaareachamber.com ,,
Change Academy,High School,Full Service,SHEBOYGAN,Sheboygan,kpeterson@sasd.net,https://www.formstack.com/admin/submission/report/30332865?share=6c4dPYe91y,mmotiska@rogersheboygancounty.org,,
Chilton High School,High School,Full Service,CALUMET,"Brown, Calumet, Outagamie, Winnebago",,https://www.formstack.com/admin/submission/report/30332852?share=6s4utL7Qe3,"cpavelski@cesa6.org, rward@cesa6.org",,
Chilton Middle School,Middle School,Virtual,CALUMET,"Brown, Calumet, Outagamie, Winnebago",,https://www.formstack.com/admin/submission/report/30332852?share=6s4utL7Qe3,"cpavelski@cesa6.org, rward@cesa6.org",,
Clintonville High School,High School,Full Service,WAUPACA,"Waupaca, Shawano, Outagamie","tkuhn@clintonville.k12.wi.us, phuettner@clintonville.k12.wi.us",https://www.formstack.com/admin/submission/report/39910841?share=vJwkkXo3T6,roger@waupacaareachamber.com ,,
Clintonville Middle School,Middle School,Full Service,WAUPACA,"Waupaca, Shawano, Outagamie","tkuhn@clintonville.k12.wi.us, phuettner@clintonville.k12.wi.us",https://www.formstack.com/admin/submission/report/39910841?share=vJwkkXo3T6,roger@waupacaareachamber.com ,,
Coleman High School,High School,Virtual,,,kmayer@coleman.k12.wi.us,https://www.formstack.com/admin/submission/report/36334145?share=LuQOcefkP2,"bholbrook@cesa9.org, vbrooks@cesa9.org",,
Cudahy School District,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43877978?share=WNnBM3vBs7
Delavan Darien School District,"High School, Middle School",M7-Educator,Walworth,Walworth,,Walworth,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878023?share=S2lxXogIFg
Denmark High School,High School,Full Service,Brown,"Brown, Calumet, Dodge, Fond duLac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago",,https://www.formstack.com/admin/submission/report/36999497?share=vzWkuhepNv,"cpavelski@cesa6.org, rward@cesa6.org",,
Dodgeland High School,High School,Full Service,DODGE,"Columbia, Dodge, Fond duLac, Green Lake, Washington, Winnebago",buss@dodgeland.k12.wi.us,https://www.formstack.com/admin/submission/report/30332910?share=xtfADHJG3r,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
Dodgeland Middle School,Middle School,Virtual,DODGE,,buss@dodgeland.k12.wi.us,https://www.formstack.com/admin/submission/report/30332910?share=xtfADHJG3r,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
East Troy Community School District,"High School, Middle School",M7-Educator,Walworth,Walworth,,Walworth,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878035?share=4ywkstz1oE
Elkhart Lake Glenbeulah High School,High School,Full Service,SHEBOYGAN,"Calumet, Sheboygan, Fond duLac, ",mbunyea@goresorters.com,https://www.formstack.com/admin/submission/report/30332933?share=NtuSiG7K5x,mmotiska@rogersheboygancounty.org,,
Elkhart Lake Glenbeulah Middle School,Middle School,Full Service,SHEBOYGAN,"Calumet, Sheboygan",jshanahan@goresorters.com,https://www.formstack.com/admin/submission/report/30332933?share=NtuSiG7K5x,mmotiska@rogersheboygancounty.org,,
Elkhorn Area School District,"High School, Middle School",M7-Educator,Walworth,Walworth,,Walworth,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878047?share=OUxt4ByPcP
Elmbrook School District,"High School, Middle School",M7-Educator,Waukesha,Waukesha,,Waukesha,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878059?share=e2bHvKUORJ
Escuela Verde,"High School, Middle School",M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878060?share=UNBpIBVuOi
Étude High School,High School,Full Service,SHEBOYGAN,Sheboygan,ckissinger@etudegroup.org,https://www.formstack.com/admin/submission/report/30332717?share=qwW915u1uT,mmotiska@rogersheboygancounty.org,,
Étude Middle School,Middle School,Full Service,SHEBOYGAN,Sheboygan,,https://www.formstack.com/admin/submission/report/30332717?share=qwW915u1uT,mmotiska@rogersheboygancounty.org,,
Fall River School District,High School,Full Service,COLUMBIA,"Columbia, Dodge, Fond duLac, Washington","aliebent@fallriver.k12.wi.us, jcrombie@fallriver.k12.wi.us",https://www.formstack.com/admin/submission/report/47236748?share=qfZhdFteQY,"rward@cesa6.org, rdroesslermersch@cesa6.org","aliebent@fallriver.k12.wi.us, jcrombie@fallriver.k12.wi.us",
Farnsworth Middle School - Sheboygan,Middle School,Full Service,SHEBOYGAN,Sheboygan,jwetzel@sasd.net,https://www.formstack.com/admin/submission/report/30333013?share=8h7e6cMOa0,mmotiska@rogersheboygancounty.org,,
Fond du Lac High School,High School,Full Service,Fond duLac,"Brown, Calumet, Columbia, Dodge, Fond duLac, Green Lake, Manitowoc, Outagamie, Ozaukee, Sheboygan, Washington, Winnebago","krugt@fonddulac.k12.wi.us,odekirkan@fonddulac.k12.wi.us,michalkiewiczt@fonddulac.k12.wi.us",https://www.formstack.com/admin/submission/report/30333036?share=jVxIeKwJ3O,"rdroesslermersch@cesa6.org, rward@cesa6.org",,
Fox Point J2 School District,Middle School,M7-Educator,Milwaukee,Milwaukee,,Milwaukee,rogerm7@cesa1.k12.wi.us,,https://www.formstack.com/admin/submission/report/43878072?share=LpHsStTmxK
